idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,datastart,storico,cgb_nord,cgb_est,lng,lat,location,:@computed_region_af5v_nc64,datastop
14232,Direzione Vento,°,1345,Piazzatorre,966,BG,2012-10-13T00:00:00.000,N,5093546,553689,9.69328479,45.99338359,"{'type': 'Point', 'coordinates': [9.69328479, 45.99338359]}",1,
7025,Direzione Vento,°,687,Ferno v.Di Dio,215,VA,2006-11-22T00:00:00.000,N,5051773,481053,8.75697656,45.61924753,"{'type': 'Point', 'coordinates': [8.75697656, 45.61924753]}",3,
4112,Precipitazione,mm,148,Arconate SMR,182,MI,2009-03-05T00:00:00.000,N,5043898,488082,8.84732669,45.54852147,"{'type': 'Point', 'coordinates': [8.84732669, 45.54852147]}",8,
8027,Temperatura,°C,848,Livigno La Vallaccia,2660,SO,1993-09-11T00:00:00.000,N,5147768,591251,10.18873661,46.47730866,"{'type': 'Point', 'coordinates': [10.18873661, 46.47730866]}",7,
19436,Direzione Vento,°,1657,Mariano Comense campo sportivo,255,CO,2017-10-10T00:00:00.000,N,5059052,513843,9.17777300,45.68488400,"{'type': 'Point', 'coordinates': [9.177773, 45.684884]}",3,
32398,Precipitazione,mm,1680,Vilminore di Scalve Presolana,1856,BG,2017-11-15T00:00:00.000,N,5092483,580679,10.04157800,45.98117244,"{'type': 'Point', 'coordinates': [10.041578, 45.98117244]}",1,
30533,Precipitazione,mm,1510,Monza v.Monte Generoso,173,MB,2014-09-26T00:00:00.000,N,5048372,519174,9.24580749,45.58862553,"{'type': 'Point', 'coordinates': [9.24580749, 45.58862553]}",5,
6824,Umidità Relativa,%,656,Gambara v.Parma,47,BS,1999-01-01T00:00:00.000,N,5011493,601945,10.29913000,45.24955194,"{'type': 'Point', 'coordinates': [10.29913, 45.24955194]}",2,
32363,Radiazione Globale,W/m²,832,Lanzada Palù,2151,SO,2017-10-12T00:00:00.000,N,5126972,568128,9.88452786,46.29290690,"{'type': 'Point', 'coordinates': [9.88452786, 46.2929069]}",7,
11144,Temperatura,°C,143,Livigno Passo Foscagno,2320,SO,2011-09-08T00:00:00.000,N,5149692,592662,10.20748854,46.49442378,"{'type': 'Point', 'coordinates': [10.20748854, 46.49442378]}",7,
19382,Velocità Vento,m/s,1651,Morbegno eliporto,230,SO,2016-09-23T00:00:00.000,N,5109394,545135,9.58432198,46.13664246,"{'type': 'Point', 'coordinates': [9.58432198, 46.13664246]}",7,
11165,Livello Idrometrico,cm,1074,Asola v. Carducci,39,MN,2011-10-07T00:00:00.000,N,5008416,610514,10.40760146,45.22056010,"{'type': 'Point', 'coordinates': [10.40760146, 45.2205601]}",4,
32373,Umidità Relativa,%,1679,Sormano rifugio Alpetto,1158,CO,2017-11-23T00:00:00.000,N,5083535,518233,9.23506881,45.90514139,"{'type': 'Point', 'coordinates': [9.23506881, 45.90514139]}",3,
2251,Precipitazione,mm,117,Edolo Ist.Meneghini,699,BS,1993-04-02T00:00:00.000,N,5114436,602920,10.33339293,46.17572375,"{'type': 'Point', 'coordinates': [10.33339293, 46.17572375]}",7,
9311,Umidità Relativa,%,646,Como Villa Gallia,201,CO,1999-01-01T00:00:00.000,N,5073500,505203,9.06697886,45.81504217,"{'type': 'Point', 'coordinates': [9.06697886, 45.81504217]}",3,
8107,Livello Idrometrico,cm,853,Idro SS 237,388,BS,1998-01-01T00:00:00.000,N,5065944,613772,10.46242047,45.73770150,"{'type': 'Point', 'coordinates': [10.46242047, 45.7377015]}",2,
14519,Umidità Relativa,%,1372,Garzeno,581,CO,2013-07-25T00:00:00.000,N,5108761,519145,9.24782090,46.13215260,"{'type': 'Point', 'coordinates': [9.2478209, 46.1321526]}",7,
9390,Umidità Relativa,%,1216,Valbondione,1784,BG,2000-12-01T00:00:00.000,N,5101745,580328,10.03860694,46.06456797,"{'type': 'Point', 'coordinates': [10.03860694, 46.06456797]}",1,
2082,Temperatura,°C,106,Varzi Nivione,500,PV,2001-05-15T00:00:00.000,N,4961571,514194,9.17949163,44.80739989,"{'type': 'Point', 'coordinates': [9.17949163, 44.80739989]}",6,
