idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
20759,Biossido di Azoto,µg/m³,1322,DarfoBT,221,BS,Darfo Boario Terme,N,2024-03-07T00:00:00.000,5080975,591483,45.87626097,10.17883506,"{'type': 'Point', 'coordinates': [10.17883506, 45.87626097]}",6,6,7,
5587,Biossido di Azoto,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N,1994-06-21T00:00:00.000,5060449,551482,45.69568669,9.66126061,"{'type': 'Point', 'coordinates': [9.66126061, 45.69568669]}",5,5,1,
9961,PM10 (SM2005),µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2006-01-01T00:00:00.000,5040636,593101,45.51306214,10.19190606,"{'type': 'Point', 'coordinates': [10.19190606, 45.51306214]}",6,6,2,
20156,Ammoniaca,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N,2013-11-20T00:00:00.000,5004590,512932,45.19468231,9.16464919,"{'type': 'Point', 'coordinates': [9.16464919, 45.19468231]}",7,7,6,
9872,PM10 (SM2005),µg/m³,673,Voghera v.Pozzoni,90,PV,Voghera,N,2005-07-05T00:00:00.000,4982900,500665,44.99955481,9.00844961,"{'type': 'Point', 'coordinates': [9.00844961, 44.99955481]}",7,7,6,
6260,Ossidi di Azoto,µg/m³,607,Abbadia Cerreto v. Fanfulla,64,LO,Abbadia Cerreto,N,2000-01-13T00:00:00.000,5017500,545920,45.30950506,9.58580022,"{'type': 'Point', 'coordinates': [9.58580022, 45.30950506]}",11,11,8,
12613,Nikel,ng/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2008-02-19T00:00:00.000,5002356,641122,45.16057658,10.79557331,"{'type': 'Point', 'coordinates': [10.79557331, 45.16057658]}",9,9,4,
11041,Biossido di Zolfo,µg/m³,674,Monza v.Machiavelli,162,MB,Monza,N,2011-02-10T00:00:00.000,5047450,521343,45.57411700,9.26380800,"{'type': 'Point', 'coordinates': [9.263808, 45.574117]}",12,12,5,
6826,Biossido di Azoto,µg/m³,657,Lonato del Garda v.del Marchesino,180,BS,Lonato del Garda,N,1990-02-16T00:00:00.000,5035536,615762,45.46375819,10.48078183,"{'type': 'Point', 'coordinates': [10.48078183, 45.46375819]}",6,6,2,
5664,Biossido di Zolfo,µg/m³,612,Filago v.Fermi,176,BG,Filago,S,1992-07-17T00:00:00.000,5052474,543382,45.62446461,9.55651564,"{'type': 'Point', 'coordinates': [9.55651564, 45.62446461]}",5,5,1,
