date,value,Rain,Wind,Temp,Humidity,value_dayb
2022-12-04,12.3,28.2,1.0401,7.7444,98.4583,27.7
2022-12-05,18.9,4.2,1.5485,8.2821,98.0208,12.3
2022-12-06,38.0,0.2,0.5922,5.5516,86.7917,18.9
2022-12-07,59.5,0.0,0.6174,3.6661,89.6319,38.0
2022-12-08,44.8,0.0,0.5983,4.8031,87.7569,59.5
2022-12-09,29.8,12.6,1.006,4.6776,96.8333,44.8
2022-12-10,25.6,0.0,1.1851,4.2155,94.0139,29.8
2022-12-11,22.5,0.0,1.1405,4.0395,80.3681,25.6
2022-12-12,33.2,0.0,0.9088,2.4616,84.0347,22.5
2022-12-13,39.7,0.0,0.7602,2.284,83.9792,33.2
2022-12-13,39.7,0.0,0.7602,2.284,83.9792,39.7
2022-12-14,51.5,0.0,0.735,3.2504,78.0486,39.7
2022-12-15,59.2,20.8,0.8983,2.7394,87.3542,51.5
2022-12-15,59.2,20.8,0.8983,2.7394,87.3542,59.2
2022-12-16,26.3,0.4,0.993,3.5054,95.0903,59.2
2022-12-17,27.3,0.0,1.2724,4.9635,96.5347,26.3
2022-12-17,27.3,0.0,1.2724,4.9635,96.5347,27.3
2022-12-18,34.3,0.0,0.7234,5.7265,93.6736,27.3
2022-12-19,44.9,0.0,0.788,5.1956,90.4792,34.3
2022-12-20,45.1,0.0,0.8606,5.7474,81.7639,44.9
2022-12-21,38.2,1.4,0.7585,6.4896,81.7431,45.1
2022-12-22,48.3,0.0,0.8103,7.6094,81.6389,38.2
2022-12-23,72.3,0.0,0.789,8.2196,86.8542,48.3
2022-12-25,65.7,0.0,0.7938,9.596,86.9792,72.3
2022-12-26,51.7,0.0,0.7674,9.7257,90.5625,65.7
2022-12-27,46.5,0.0,0.9189,8.8062,89.0903,51.7
2022-12-28,57.5,0.0,0.5073,8.5276,89.4028,46.5
2022-12-29,66.5,0.6,0.7488,9.0085,89.1667,57.5
2022-12-29,66.5,0.6,0.7488,9.0085,89.1667,66.5
2022-12-30,37.9,2.6,0.7585,8.4843,96.4861,66.5
2022-12-31,49.2,1.4,0.6929,8.2971,86.5139,37.9
2023-01-01,66.2,4.4,0.7231,8.5244,99.0,49.2
2023-01-02,29.2,2.8,0.4684,9.5673,99.0,66.2
2023-01-03,18.8,8.8,0.682,10.0683,99.0,29.2
2023-01-04,27.6,0.2,0.6611,9.9381,96.3056,18.8
2023-01-05,35.4,0.0,1.3039,9.43,86.3611,27.6
2023-01-06,42.5,0.0,1.0429,8.6774,94.6111,35.4
2023-01-07,29.9,1.2,0.5386,8.0621,91.1806,42.5
2023-01-07,29.9,1.2,0.5386,8.0621,91.1806,29.9
2023-01-08,26.8,31.2,1.1271,7.5644,96.6944,29.9
2023-01-09,11.8,0.8,1.6482,8.1578,83.5139,26.8
2023-01-10,9.2,0.0,1.7122,10.156,32.4406,11.8
2023-01-11,44.1,0.0,0.5043,7.2265,52.8472,9.2
2023-01-12,56.6,0.0,0.5969,6.8017,65.0417,44.1
2023-01-13,62.4,0.0,0.6689,6.8593,71.2042,56.6
2023-01-14,50.2,0.0,1.249,6.5026,74.5417,62.4
2023-01-15,57.1,0.6,0.7129,6.898,88.3472,50.2
2023-01-16,45.2,0.2,1.1192,4.9177,94.8811,57.1
2023-01-17,30.9,4.2,1.0256,3.8272,95.0417,45.2
2023-01-18,31.8,0.0,0.9465,2.9783,92.9167,30.9
2023-01-19,20.3,4.6,1.1044,3.0822,88.5069,31.8
2023-01-20,32.3,0.0,0.7394,3.3256,80.0347,20.3
2023-01-20,32.3,0.0,0.7394,3.3256,80.0347,32.3
2023-01-21,28.9,0.0,0.9801,4.5928,39.7917,32.3
2023-01-23,45.6,0.0,0.7146,4.3612,62.0208,28.9
2023-01-24,33.4,0.0,0.8209,8.2805,66.4722,45.6
2023-01-25,39.6,0.0,0.8292,7.2272,77.7692,33.4
2023-01-27,42.9,0.0,1.288,4.765,61.2153,39.6
2023-01-28,44.4,0.0,0.6281,4.6364,58.5417,42.9
2023-01-29,41.2,0.0,0.7001,4.5256,60.5833,44.4
2023-01-30,54.2,0.0,1.1286,5.0177,64.1944,41.2
2023-01-31,69.2,0.0,1.1047,5.5744,69.0972,54.2
2023-02-01,48.1,0.0,1.2148,8.3781,60.3819,69.2
2023-02-02,27.2,0.0,1.4126,10.3135,51.9514,48.1
2023-02-03,39.4,0.0,1.2365,9.7849,55.5,27.2
2023-02-05,21.8,0.0,2.8727,7.1026,56.6042,39.4
2023-02-06,21.3,0.0,2.5294,5.1287,61.6319,21.8
2023-02-09,25.4,0.0,1.3349,2.5535,42.7847,21.3
2023-02-10,52.3,0.0,0.4874,3.0357,47.7917,25.4
2023-02-11,64.5,0.0,0.7307,4.434,48.5417,52.3
2023-02-13,68.1,0.0,0.5569,8.1283,53.7917,64.5
2023-02-14,75.6,0.0,0.7512,8.5975,58.8194,68.1
2023-02-16,63.8,0.0,0.9531,9.8554,64.0069,75.6
2023-02-17,29.8,0.0,1.0068,10.3125,69.1319,63.8
2023-02-18,25.7,0.0,1.2434,10.7788,68.0625,29.8
2023-02-19,26.0,0.0,1.1333,10.944,73.4514,25.7
2023-02-20,81.0,0.0,1.0643,9.9097,79.5486,26.0
2023-02-21,65.0,0.0,0.718,10.6288,76.0486,81.0
2023-02-22,74.5,0.0,0.8347,11.5072,75.6597,65.0
2023-02-23,73.2,0.0,1.0989,12.1552,74.3333,74.5
2023-02-24,68.5,2.0,0.7213,11.8233,78.3472,73.2
2023-02-25,44.7,0.0,1.1655,11.7936,77.8819,68.5
2023-02-26,20.8,3.4,2.226,5.5147,82.2153,44.7
2023-02-27,11.4,3.8,1.0931,4.2861,78.4444,20.8
2023-02-28,23.1,0.0,0.9041,6.1269,59.2917,11.4
2023-03-01,37.8,4.4,0.7819,5.9917,69.4236,23.1
2023-03-02,28.6,0.2,0.7473,7.8174,76.2986,37.8
2023-03-03,37.5,0.0,0.6285,10.363,64.4931,28.6
2023-03-04,50.9,0.0,0.6615,11.2431,61.5764,37.5
2023-03-05,51.9,0.0,0.8588,10.7991,63.7361,50.9
2023-03-06,28.6,0.0,0.8887,11.0414,61.3542,51.9
2023-03-06,28.6,0.0,0.8887,11.0414,61.3542,28.6
2023-03-07,30.3,0.0,0.6816,10.9651,62.3007,28.6
2023-03-08,30.7,0.0,0.6227,11.2233,63.7778,30.3
2023-03-09,24.3,1.0,0.8216,13.9047,64.7083,30.7
2023-03-10,31.8,0.0,1.7961,13.9892,62.6111,24.3
2023-03-11,7.1,0.0,1.7444,16.3642,36.5764,31.8
2023-03-12,21.7,0.0,2.187,12.9859,60.7569,7.1
2023-03-13,24.8,0.8,1.2972,12.2272,64.1597,21.7
2023-03-14,24.0,8.8,1.8751,11.9783,76.0625,24.8
2023-03-15,5.5,0.0,2.1824,12.7015,20.3611,24.0
2023-03-16,18.2,0.0,1.7256,11.0925,37.0139,5.5
2023-03-17,27.1,0.0,1.3068,10.9003,41.8125,18.2
2023-03-19,38.7,0.0,1.0301,12.4947,58.9514,27.1
2023-03-20,47.8,0.0,1.0119,12.4839,68.5833,38.7
2023-03-21,57.7,0.0,0.5303,14.1895,59.9583,47.8
2023-03-22,48.1,0.0,0.6781,16.1453,51.3472,57.7
2023-03-23,18.6,0.0,1.272,15.5549,56.2431,48.1
2023-03-24,15.2,0.0,1.1657,14.7497,67.0,18.6
2023-03-25,11.8,0.0,1.2144,16.6707,48.6736,15.2
2023-03-26,19.8,4.0,1.4677,12.062,67.875,11.8
2023-03-27,8.1,0.0,2.4541,12.8635,35.5347,19.8
2023-03-29,23.6,0.0,1.1956,13.0631,50.4236,8.1
2023-03-30,23.0,0.0,0.8147,14.1212,67.2708,23.6
2023-03-31,27.0,0.0,1.0461,13.5271,65.3264,23.0
2023-04-01,14.6,0.0,1.0722,14.9406,46.6181,27.0
2023-04-02,22.2,0.0,1.3994,15.2028,47.5972,14.6
2023-04-03,27.6,0.0,2.5941,13.7851,51.8958,22.2
2023-04-04,22.5,0.0,2.3348,10.2999,40.1458,27.6
2023-04-05,24.3,0.0,2.1352,9.584,38.0764,22.5
2023-04-05,24.3,0.0,2.1352,9.584,38.0764,24.3
2023-04-06,30.3,0.0,1.1174,10.5901,34.2014,24.3
2023-04-07,42.4,0.0,0.7751,11.3618,57.2986,30.3
2023-04-08,31.4,0.0,1.2711,13.0076,54.9236,42.4
2023-04-09,21.5,0.0,1.8908,13.3556,54.7986,31.4
2023-04-10,15.0,0.0,1.6501,13.8115,44.6042,21.5
