idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
6931,PM10 (SM2005),µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2000-07-03T00:00:00.000,5059922,550116,45.69104400,9.64366225,"{'type': 'Point', 'coordinates': [9.64366225, 45.691044]}",5,5,1,
6857,Ozono,µg/m³,660,Ospitaletto v. XXV aprile,155,BS,Ospitaletto,S,2000-06-29T00:00:00.000,5044985,584681,45.55325867,10.08492175,"{'type': 'Point', 'coordinates': [10.08492175, 45.55325867]}",6,6,2,2004-02-25T00:00:00.000
10112,Ozono,µg/m³,698,Ceneselli v. Moro,13,RO,Ceneselli,S,2006-11-28T00:00:00.000,4987161,686934,45.01345800,11.37258100,"{'type': 'Point', 'coordinates': [11.372581, 45.013458]}",,,,2017-01-01T00:00:00.000
5706,Ozono,µg/m³,530,Agrate Brianza v.Ferrario,162,MB,Agrate Brianza,S,1996-03-27T00:00:00.000,5046977,527628,45.57577800,9.35409400,"{'type': 'Point', 'coordinates': [9.354094, 45.575778]}",12,12,5,2018-01-01T00:00:00.000
10073,Ossidi di Azoto,µg/m³,694,Salionze v. Campagna Rossa,109,VR,Salionze,S,2006-12-01T00:00:00.000,5029205,635124,45.40331803,10.72660167,"{'type': 'Point', 'coordinates': [10.72660167, 45.40331803]}",,,,2020-08-01T00:00:00.000
6841,Biossido di Azoto,µg/m³,659,Odolo v.Praes,349,BS,Odolo,N,2013-12-13T00:00:00.000,5055661,608260,45.64605175,10.38929672,"{'type': 'Point', 'coordinates': [10.38929672, 45.64605175]}",6,6,2,
12601,Nikel,ng/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,S,2008-04-18T00:00:00.000,5080789,591371,45.87460256,10.17736553,"{'type': 'Point', 'coordinates': [10.17736553, 45.87460256]}",6,6,7,2022-12-31T00:00:00.000
20401,Benzene,µg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N,2017-02-21T00:00:00.000,5147136,605598,46.46952397,10.37543275,"{'type': 'Point', 'coordinates': [10.37543275, 46.46952397]}",3,3,7,
5842,Monossido di Carbonio,mg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N,1993-11-02T00:00:00.000,5147136,605598,46.46952397,10.37543275,"{'type': 'Point', 'coordinates': [10.37543275, 46.46952397]}",3,3,7,
9772,Benzene,µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N,2005-04-23T00:00:00.000,5017060,538042,45.30601628,9.48527511,"{'type': 'Point', 'coordinates': [9.48527511, 45.30601628]}",11,11,8,
6587,Biossido di Zolfo,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,N,1991-02-17T00:00:00.000,5077479,530713,45.85019631,9.39558125,"{'type': 'Point', 'coordinates': [9.39558125, 45.85019631]}",10,10,5,
5513,Biossido di Azoto,µg/m³,510,Inzago v.le Gramsci,138,MI,Inzago,S,1991-01-01T00:00:00.000,5043030,538012,45.53976956,9.48689669,"{'type': 'Point', 'coordinates': [9.48689669, 45.53976956]}",4,4,8,2018-01-01T00:00:00.000
5617,Biossido di Zolfo,µg/m³,508,Cassano d'Adda v.di Vona,133,MI,Cassano d'Adda,S,1976-10-14T00:00:00.000,5040847,540004,45.52000944,9.51223153,"{'type': 'Point', 'coordinates': [9.51223153, 45.52000944]}",4,4,8,2017-12-11T00:00:00.000
6655,Particolato Totale Sospeso,µg/m³,555,Busto Arsizio v.Magenta,222,VA,Busto Arsizio,S,1991-05-25T00:00:00.000,5050810,488313,45.61073922,8.85012100,"{'type': 'Point', 'coordinates': [8.850121, 45.61073922]}",1,1,3,2006-06-19T00:00:00.000
20104,Particelle sospese PM2.5,µg/m³,592,Treviglio p.zza Insurrezione,191,BG,Treviglio,N,2015-03-01T00:00:00.000,5040815,546236,45.51933533,9.59201917,"{'type': 'Point', 'coordinates': [9.59201917, 45.51933533]}",5,5,1,
12664,Piombo,ng/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2008-06-14T00:00:00.000,5084478,538586,45.91279097,9.49754261,"{'type': 'Point', 'coordinates': [9.49754261, 45.91279097]}",10,10,5,
6338,Ossidi di Azoto,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,N,1998-03-17T00:00:00.000,5014273,499103,45.28196356,8.98857592,"{'type': 'Point', 'coordinates': [8.98857592, 45.28196356]}",4,4,8,
5601,Biossido di Azoto,µg/m³,598,San Rocco al Porto v.Matteotti,50,LO,San Rocco al Porto,N,2002-01-24T00:00:00.000,4992297,555154,45.08199189,9.70079278,"{'type': 'Point', 'coordinates': [9.70079278, 45.08199189]}",11,11,8,
5989,Benzene,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N,1997-08-02T00:00:00.000,5060449,551482,45.69568669,9.66126061,"{'type': 'Point', 'coordinates': [9.66126061, 45.69568669]}",5,5,1,
10176,Particelle sospese PM2.5,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-12-13T00:00:00.000,4986922,663580,45.01688067,11.07609728,"{'type': 'Point', 'coordinates': [11.07609728, 45.01688067]}",9,9,4,
